date;zender;kdh;madl;abs
02/09/2015;Net5;0,3;1,8;49.000
02/09/2015;Veronica;0,4;2,3;63.000
02/09/2015;SBS9;0,1;0,5;14.000
02/09/2015;MTV;0,1;0,7;19.000
02/09/2015;Comedy Central;0,3;1,9;50.000
02/09/2015;Comedy Central Family;0,0;0,2;5.000
02/09/2015;Nickelodeon;0,2;1,0;27.000
02/09/2015;TeenNick;0,0;0,1;3.000
02/09/2015;Disney Channel;0,1;0,4;11.000
02/09/2015;Disney XD;0,1;0,6;16.000
02/09/2015;Discovery Channel;0,3;1,8;49.000
02/09/2015;TLC;0,3;1,8;49.000
02/09/2015;ID;0,1;0,5;15.000
02/09/2015;National Geographic Channel;0,4;2,0;54.000
02/09/2015;24Kitchen;0,1;0,6;16.000
02/09/2015;FOX;0,1;0,8;22.000
02/09/2015;FOX Sports 1 Eredivisie;0,6;3,2;87.000
02/09/2015;FOX Sports 2;0,0;0,2;5.000
02/09/2015;FOX Sports 3 Eredivisie;0,0;0,1;2.000
02/09/2015;Eurosport;0,1;0,8;22.000
02/09/2015;AT5;0,0;0,1;3.000
02/09/2015;ORN TV;0,2;1,3;35.000
02/09/2015;VID+DVD+HDR;1,2;6,7;181.000
02/09/2015;SKO Light;0,7;3,9;106.000
02/09/2015;Overige zenders;0,7;4,1;112.000
